S.N,Journal Name,Impact Factor,Cost,Acceptance rate,URL
1,Nature Microbiology,28.3,"$11,000 ",7%,https://www.nature.com/nmicrobiol/journal-impact
2,FEMS Microbiology Reviews,11.3,"$3,000 ",42.90%,https://academic.oup.com/femsmicrobes/pages/About
3,Microbiology and Molecular Biology Reviews,13.04,NA/Free,NA,https://academic-accelerator.com/Impact-of-Journal/Microbiology-and-Molecular-Biology-Reviews
4,Expert Review of Anti-Infective Therapy,5.7,"$4,900 ",32%,https://www.tandfonline.com/action/journalInformation?show=journalMetrics&journalCode=ierz20
5,journal of bacteriology,3.4,"$2,900 ",75%,https://academic-accelerator.com/Impact-of-Journal/Journal-of-Bacteriology
6,cell host and microbe,30.1,"$9,350 ",100%,https://academic-accelerator.com/Impact-of-Journal/Cell-Host-and-Microbe
7,Molecular Microbiology,3.9,NA,41%,https://onlinelibrary.wiley.com/journal/13652958/journal-metrics
8,The ISME Journal,11.2,"$3,900 ",30.40%,https://www.nature.com/ismej/journal-information
9,Critical Reviews in Microbiology,6.5,None,NA,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=imby20#publication-charges
10,mBio,6.4,"$3,900 ",63.40%,https://www.bioxbio.com/journal/MBIO
11,Future Microbiology,3.1,"$2,175 ",100%,https://www.futuremedicine.com/authorguide/openaccess#point5
12,Beneficial Microbes,5.4,"$1,400 ",NA,https://www.mdpi.com/apc
13,ieee open journal of engineering in medicine and biology,5.8,"$1,995 ",NA,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8782705
14,nature biotechnology,46.9,"$11,600 ",40%,https://academic-accelerator.com/Acceptance-Rate/Nature-Biotechnology
15,Osteoarthritis and Cartilage,7,"$2,590 ",25%,https://www.sciencedirect.com/journal/osteoarthritis-and-cartilage/about/insights
16,Acta Biomaterialia,9.7,"$3,210 ",84.60%,https://academic-accelerator.com/Impact-of-Journal/Acta-Biomaterialia
17,asaio journal,4.2,None,63%,https://asaio.org/journal/
18,Material today,24.2,"$5,460 ",100%,https://www.sciencedirect.com/journal/materials-today/about/insights
19,Biomedical Materials,4,"$3,075 ",28%,https://iopscience.iop.org/journal/1748-605X/page/About_the_journal
20,Biomedical Microdevices,3.7,"$3,890 ",87.50%,https://www.springer.com/journal/10544/how-to-publish-with-us#Fees%20and%20Funding
21,expert review of medical devices,3.1,NA,80%,https://www.tandfonline.com/action/journalInformation?show=journalMetrics&journalCode=ierd20
22,BMC Bioinformatics,3,"$2,790 ",62%,https://www.journalguide.com/journals/bmc-bioinformatics
23,Journal of bioinformatics computational biology,1,$40 per page,66.70%,https://www.worldscientific.com/page/jbcb/submission-guidelines
24,Plos computational biology,4.7,"$2,350 ",56%,https://academic-accelerator.com/Impact-of-Journal/PLOS-Computational-Biology
25,IEEE/ACM Transactions on Computational Biology and Bioinformatics,4.5,"$1,750 ",NA,https://www.cs.cityu.edu.hk/~shuaicli/apbc2017/contents/InstructionsForAuthors-TCBB.pdf
26,Evolutionary Bioinformatics,2.6,"$2,650 ",50%,https://www.journalguide.com/journals/evolutionary-bioinformatics
27,BioData Mining,4.5,"$2,490 ",NA,https://biodatamining.biomedcentral.com/
28,Bioinformatics and Biology Insights,5.8,"$1,848 ",50%,https://journals.sagepub.com/metrics/BBI
29,The Journal of Biomedical Informatics,4.5,"$2,980 ",NA,https://www.sciencedirect.com/journal/journal-of-biomedical-informatics
30,Statistics in Biosciences,1.12,"$3,190 ",NA,https://www.resurchify.com/impact/details/19400158517
31,Genome Biology,12.3,"$5,290 ",17.40%,"https://genomebiology.biomedcentral.com/about#:~:text=The%20current%20impact%20factor%20is,Microbiology%20category%20by%20Thomson%20Reuters."
32,IEEE Transactions on Pattern Analysis and Machine Intelligence,24.3,"$2,345 ",NA,https://open.ieee.org/for-authors/article-processing-charges/
33,Journal of artificial intelligence research,2.4,None,NA,https://en.wikipedia.org/wiki/Journal_of_Artificial_Intelligence_Research
34,Journal of Machine Learning Research(JMLR),5.9,None,20%,https://www.jmlr.org/
35,IEEE Transactions on Fuzzy Systems (TFS),11.5,$200 per page,NA,https://www.resurchify.com/impact/details/24242
36,Expert Systems with Applications,8.6,"$3,320 ",64%,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6572923
37,Information Sciences,8.2,"$3,330 ",70.50%,https://journalsearches.com/journal.php?title=Expert%20Systems%20with%20Applications
38,Fuzzy Sets and Systems,3.4,"$2,680 ",20%,"https://www.sciencedirect.com/journal/fuzzy-sets-and-systems/publish/open-access-options#:~:text=This%20ensures%20your%20article%20will,is%20USD%202680%2C%20excluding%20taxes."
39,International Journal of Robotics Research(IJRR),9.2,"$3,000 ",5%,https://journals.sagepub.com/home/ijr
40,Pattern Recognition Letters,2.8,"$2,580 ",29%,"https://www.sciencedirect.com/journal/pattern-recognition-letters/publish/open-access-options#:~:text=This%20ensures%20your%20article%20will,is%20USD%202580%2C%20excluding%20taxes."
41,IEEE Transactions on Neural Networks and Learning Systems,10.4,$110 per printed page,NA,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=5962385
42,International journal on artificial intelligence tools,1.1,"$2,200 plus",30%,"https://www.worldscientific.com/ijait/openaccess#:~:text=The%20standard%20APC%20of%20this,where%20applicable%20in%20your%20country."
43,Journal of Experimental & Theoritical Artificial Intelligence,2.2,None,NA,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=teta20#publication-charges
44,Journal of Artificial Intelligence and Soft Computing Research,2.8,"(APC) of $1,300",NA,https://sciendo.com/journal/JAISCR
45,International Journal of Computational Intelligence Systems,1.7,"$1,600 ",NA,https://www.atlantis-press.com/journals/ijcis
46,Elsevier Knowledge-based Systems,8,"$3,220 ",25%,https://www.sciencedirect.com/journal/knowledge-based-systems
47,f1000 Research,3.2,"$1,390 ",,https://f1000research.com/for-authors/article-processing-charges
48,Neurocomputing,6,"$2,470 ",NA,"https://www.sciencedirect.com/journal/neurocomputing/publish/open-access-options#:~:text=This%20ensures%20your%20article%20will,is%20USD%202470%2C%20excluding%20taxes."
